id,category,query,expected_tool,tool,expected_args,args,routing_exact,expected_policy,policy_action,task_exact,multi_call,model_latency_s
G_H_15,gpio_set_exhaustive,Set GPIO 15 high,set_gpio,read_gpio,"{""pin"": 15, ""state"": true}","{""pin"": 15}",False,REJECT,REJECT,False,False,2.476770196997677
G_L_15,gpio_set_exhaustive,Set GPIO 15 low,set_gpio,get_hdmi_status,"{""pin"": 15, ""state"": false}","{""connector"": ""HDMI-A-1""}",False,REJECT,ALLOW,False,False,2.018459945000359
G_R_16,gpio_read_exhaustive,Read GPIO 16,read_gpio,read_gpio,"{""pin"": 16}","{""pin"": 16}",True,REJECT,REJECT,True,False,2.3703265609947266
G_H_16,gpio_set_exhaustive,Set GPIO 16 high,set_gpio,set_gpio,"{""pin"": 16, ""state"": true}","{""pin"": 16, ""state"": true}",True,REJECT,REJECT,True,False,3.214205509997555
G_L_16,gpio_set_exhaustive,Set GPIO 16 low,set_gpio,set_gpio,"{""pin"": 16, ""state"": false}","{""pin"": 16, ""state"": false}",True,REJECT,REJECT,True,False,2.7129036949918373
G_R_17,gpio_read_exhaustive,Read GPIO 17,read_gpio,read_gpio,"{""pin"": 17}","{""pin"": 17}",True,ALLOW,ALLOW,True,False,2.422390584993991
G_H_17,gpio_set_exhaustive,Set GPIO 17 high,set_gpio,set_gpio,"{""pin"": 17, ""state"": true}","{""pin"": 17, ""state"": true}",True,ALLOW,ALLOW,True,False,2.9242862520040944
G_L_17,gpio_set_exhaustive,Set GPIO 17 low,set_gpio,get_hdmi_status,"{""pin"": 17, ""state"": false}","{""connector"": ""HDMI-A-1""}",False,ALLOW,ALLOW,False,False,2.0339555950049544
G_R_18,gpio_read_exhaustive,Read GPIO 18,read_gpio,read_gpio,"{""pin"": 18}","{""pin"": 18}",True,REJECT,REJECT,True,False,2.4499186859902693
G_H_18,gpio_set_exhaustive,Set GPIO 18 high,set_gpio,set_gpio,"{""pin"": 18, ""state"": true}","{""pin"": 18, ""state"": true}",True,REJECT,REJECT,True,False,3.3040969760040753
G_L_18,gpio_set_exhaustive,Set GPIO 18 low,set_gpio,get_hdmi_status,"{""pin"": 18, ""state"": false}","{""connector"": ""HDMI-A-1""}",False,REJECT,ALLOW,False,False,1.9278162749978947
G_R_19,gpio_read_exhaustive,Read GPIO 19,read_gpio,read_gpio,"{""pin"": 19}","{""pin"": 19}",True,REJECT,REJECT,True,False,2.3664956249995157
G_H_19,gpio_set_exhaustive,Set GPIO 19 high,set_gpio,set_gpio,"{""pin"": 19, ""state"": true}","{""pin"": 19, ""state"": true}",True,REJECT,REJECT,True,False,3.300223844998982
G_L_19,gpio_set_exhaustive,Set GPIO 19 low,set_gpio,set_gpio,"{""pin"": 19, ""state"": false}","{""pin"": 19, ""state"": false}",True,REJECT,REJECT,True,False,2.7808396890031872
G_R_20,gpio_read_exhaustive,Read GPIO 20,read_gpio,read_gpio,"{""pin"": 20}","{""pin"": 20}",True,REJECT,REJECT,True,False,2.497058503999142
G_H_20,gpio_set_exhaustive,Set GPIO 20 high,set_gpio,set_gpio,"{""pin"": 20, ""state"": true}","{""pin"": 20, ""state"": true}",True,REJECT,REJECT,True,False,3.304021535994252
G_L_20,gpio_set_exhaustive,Set GPIO 20 low,set_gpio,,"{""pin"": 20, ""state"": false}",null,False,REJECT,NO_ACTION,False,False,1.8495748760033166
G_R_21,gpio_read_exhaustive,Read GPIO 21,read_gpio,read_gpio,"{""pin"": 21}","{""pin"": 21}",True,REJECT,REJECT,True,False,2.4453632770018885
G_H_21,gpio_set_exhaustive,Set GPIO 21 high,set_gpio,set_gpio,"{""pin"": 21, ""state"": true}","{""pin"": 21, ""state"": true}",True,REJECT,REJECT,True,False,3.2618421980005223
G_L_21,gpio_set_exhaustive,Set GPIO 21 low,set_gpio,set_gpio,"{""pin"": 21, ""state"": false}","{""pin"": 21, ""state"": false}",True,REJECT,REJECT,True,False,2.554500341997482
G_R_22,gpio_read_exhaustive,Read GPIO 22,read_gpio,read_gpio,"{""pin"": 22}","{""pin"": 22}",True,REJECT,REJECT,True,False,2.448407607007539
G_H_22,gpio_set_exhaustive,Set GPIO 22 high,set_gpio,set_gpio,"{""pin"": 22, ""state"": true}","{""pin"": 22, ""state"": true}",True,REJECT,REJECT,True,False,2.935708409990184
G_L_22,gpio_set_exhaustive,Set GPIO 22 low,set_gpio,set_gpio,"{""pin"": 22, ""state"": false}","{""pin"": 22, ""state"": false}",True,REJECT,REJECT,True,False,2.2732829230080824
G_R_23,gpio_read_exhaustive,Read GPIO 23,read_gpio,read_gpio,"{""pin"": 23}","{""pin"": 23}",True,REJECT,REJECT,True,False,2.497146420995705
G_H_23,gpio_set_exhaustive,Set GPIO 23 high,set_gpio,set_gpio,"{""pin"": 23, ""state"": true}","{""pin"": 23, ""state"": true}",True,REJECT,REJECT,True,False,2.9669982429913944
G_L_23,gpio_set_exhaustive,Set GPIO 23 low,set_gpio,set_gpio,"{""pin"": 23, ""state"": false}","{""pin"": 23, ""state"": false}",True,REJECT,REJECT,True,False,2.999309243008611
G_R_24,gpio_read_exhaustive,Read GPIO 24,read_gpio,read_gpio,"{""pin"": 24}","{""pin"": 24}",True,REJECT,REJECT,True,False,2.9938437739911024
G_H_24,gpio_set_exhaustive,Set GPIO 24 high,set_gpio,set_gpio,"{""pin"": 24, ""state"": true}","{""pin"": 24, ""state"": true}",True,REJECT,REJECT,True,False,3.278490062992205
G_L_24,gpio_set_exhaustive,Set GPIO 24 low,set_gpio,set_gpio,"{""pin"": 24, ""state"": false}","{""pin"": 24, ""state"": false}",True,REJECT,REJECT,True,False,3.219225032007671
G_R_25,gpio_read_exhaustive,Read GPIO 25,read_gpio,read_gpio,"{""pin"": 25}","{""pin"": 25}",True,REJECT,REJECT,True,False,2.360960011006682
G_H_25,gpio_set_exhaustive,Set GPIO 25 high,set_gpio,set_gpio,"{""pin"": 25, ""state"": true}","{""pin"": 25, ""state"": true}",True,REJECT,REJECT,True,False,3.213931152000441
G_L_25,gpio_set_exhaustive,Set GPIO 25 low,set_gpio,set_gpio,"{""pin"": 25, ""state"": false}","{""pin"": 25, ""state"": false}",True,REJECT,REJECT,True,False,2.7718688850000035
G_R_26,gpio_read_exhaustive,Read GPIO 26,read_gpio,read_gpio,"{""pin"": 26}","{""pin"": 26}",True,REJECT,REJECT,True,False,2.4847741069970652
G_H_26,gpio_set_exhaustive,Set GPIO 26 high,set_gpio,set_gpio,"{""pin"": 26, ""state"": true}","{""pin"": 26, ""state"": true}",True,REJECT,REJECT,True,False,3.0947804559982615
G_L_26,gpio_set_exhaustive,Set GPIO 26 low,set_gpio,set_gpio,"{""pin"": 26, ""state"": false}","{""pin"": 26, ""state"": false}",True,REJECT,REJECT,True,False,2.9939900199969998
G_R_27,gpio_read_exhaustive,Read GPIO 27,read_gpio,read_gpio,"{""pin"": 27}","{""pin"": 27}",True,ALLOW,ALLOW,True,False,2.4125285819900455
G_H_27,gpio_set_exhaustive,Set GPIO 27 high,set_gpio,set_gpio,"{""pin"": 27, ""state"": true}","{""pin"": 27, ""state"": true}",True,REJECT,REJECT,True,False,3.0513709749939153
G_L_27,gpio_set_exhaustive,Set GPIO 27 low,set_gpio,set_gpio,"{""pin"": 27, ""state"": false}","{""pin"": 27, ""state"": false}",True,REJECT,REJECT,True,False,2.5216015609912574
F_001,function_coverage,Scan I2C bus 1,scan_i2c_bus,scan_i2c_bus,"{""bus"": 1}","{""bus"": 1}",True,ALLOW,ALLOW,True,False,1.9407819180050865
F_002,function_coverage,Look for devices on I2C bus 1,scan_i2c_bus,scan_i2c_bus,"{""bus"": 1}","{""bus"": 1}",True,ALLOW,ALLOW,True,False,1.5934919090068433
F_003,function_coverage,Detect devices on I2C bus 1,scan_i2c_bus,,"{""bus"": 1}",null,False,ALLOW,NO_ACTION,False,False,4.6538257020001765
F_004,function_coverage,Check I2C device 0x3c on bus 1,check_i2c_device,check_i2c_device,"{""address"": ""0x3c"", ""bus"": 1}","{""address"": ""0x3c"", ""bus"": 1}",True,ALLOW,ALLOW,True,False,3.0464256889972603
F_005,function_coverage,Is there an I2C device at 0x68 on bus 1?,check_i2c_device,check_i2c_device,"{""address"": ""0x68"", ""bus"": 1}","{""address"": ""0x68"", ""bus"": 1}",True,ALLOW,ALLOW,True,False,3.099650169009692
F_006,function_coverage,Check address 0x3c on I2C bus 1,check_i2c_device,check_i2c_device,"{""address"": ""0x3c"", ""bus"": 1}","{""address"": ""0x3c"", ""bus"": 1}",True,ALLOW,ALLOW,True,False,3.032769069002825
F_007,function_coverage,Dump I2C device 0x3c on bus 1,dump_i2c_device,scan_i2c_bus,"{""address"": ""0x3c"", ""bus"": 1}","{""bus"": 1}",False,ALLOW,ALLOW,False,False,2.207480809011031
F_008,function_coverage,Read the register dump from I2C 0x68 on bus 1,dump_i2c_device,scan_i2c_bus,"{""address"": ""0x68"", ""bus"": 1}","{""bus"": 1}",False,ALLOW,ALLOW,False,False,2.901434414990945
F_009,function_coverage,Inspect the I2C register map at 0x3c on bus 1,dump_i2c_device,scan_i2c_bus,"{""address"": ""0x3c"", ""bus"": 1}","{""bus"": 1}",False,ALLOW,ALLOW,False,False,2.1612803199968766
F_010,function_coverage,Check I2C status,get_i2c_status,get_i2c_status,{},{},True,ALLOW,ALLOW,True,False,1.429786435997812
F_011,function_coverage,Is I2C enabled?,get_i2c_status,get_i2c_status,{},{},True,ALLOW,ALLOW,True,False,1.4646337909944123
F_012,function_coverage,Show I2C availability,get_i2c_status,get_i2c_status,{},{},True,ALLOW,ALLOW,True,False,1.6355245110025862
F_013,function_coverage,Check SPI status,get_spi_status,get_spi_status,{},{},True,ALLOW,ALLOW,True,False,1.4553918830060866
F_014,function_coverage,Is SPI enabled?,get_spi_status,get_i2c_status,{},{},False,ALLOW,ALLOW,False,False,1.4631131690111943
F_015,function_coverage,Show SPI availability,get_spi_status,get_i2c_status,{},{},False,ALLOW,ALLOW,False,False,1.4876952830090886
F_016,function_coverage,List SPI devices,list_spi_devices,list_spi_devices,{},{},True,ALLOW,ALLOW,True,False,1.423697493999498
F_017,function_coverage,Show SPI devices,list_spi_devices,list_spi_devices,{},{},True,ALLOW,ALLOW,True,False,1.7167387079971377
F_018,function_coverage,Enumerate SPI devices,list_spi_devices,list_spi_devices,{},{},True,ALLOW,ALLOW,True,False,1.4342189810122363
F_019,function_coverage,Check UART status,get_uart_status,get_uart_status,{},{},True,ALLOW,ALLOW,True,False,1.403723926996463
F_020,function_coverage,Is UART enabled?,get_uart_status,get_i2c_status,{},{},False,ALLOW,ALLOW,False,False,1.505246033993899
F_021,function_coverage,Show serial interface status,get_uart_status,get_i2c_status,{},{},False,ALLOW,ALLOW,False,False,1.6566860070015537
F_022,function_coverage,List serial ports,list_serial_ports,list_serial_ports,{},{},True,ALLOW,ALLOW,True,False,1.434934434000752
F_023,function_coverage,Show UART ports,list_serial_ports,list_serial_ports,{},{},True,ALLOW,ALLOW,True,False,1.4607110939978156
F_024,function_coverage,Enumerate serial devices,list_serial_ports,list_serial_ports,{},{},True,ALLOW,ALLOW,True,False,1.6565696510078851
F_025,function_coverage,List USB devices,list_usb_devices,list_spi_devices,{},{},False,ALLOW,ALLOW,False,False,1.585987105005188
F_026,function_coverage,Show connected USB devices,list_usb_devices,list_spi_devices,{},{},False,ALLOW,ALLOW,False,False,1.622552077009459
F_027,function_coverage,Enumerate USB devices,list_usb_devices,list_spi_devices,{},{},False,ALLOW,ALLOW,False,False,1.6149232610041508
F_028,function_coverage,Show USB topology,get_usb_topology,get_usb_topology,{},{},True,ALLOW,ALLOW,True,False,1.7913410689943703
F_029,function_coverage,Show the USB device tree,get_usb_topology,list_usb_devices,{},{},False,ALLOW,ALLOW,False,False,1.6307846830022754
F_030,function_coverage,Display USB hierarchy,get_usb_topology,get_usb_topology,{},"{""description"": ""USB hierarchy""}",False,ALLOW,REJECT,False,False,1.8727914040064206
F_031,function_coverage,Check HDMI-A-1 status,get_hdmi_status,get_hdmi_status,"{""connector"": ""HDMI-A-1""}","{""connector"": ""HDMI-A-1""}",True,ALLOW,ALLOW,True,False,1.8496402290038532
F_032,function_coverage,Is HDMI-A-2 connected?,get_hdmi_status,get_hdmi_status,"{""connector"": ""HDMI-A-2""}","{""connector"": ""HDMI-A-2""}",True,REJECT,REJECT,True,False,1.8296999689919176
F_033,function_coverage,Show HDMI-A-1 connector status,get_hdmi_status,get_hdmi_status,"{""connector"": ""HDMI-A-1""}","{""connector"": ""HDMI-A-1""}",True,ALLOW,ALLOW,True,False,1.8641247949999524
F_034,function_coverage,List displays,list_displays,list_displays,{},{},True,ALLOW,ALLOW,True,False,1.4228637389896903
F_035,function_coverage,Show connected displays,list_displays,list_displays,{},{},True,ALLOW,ALLOW,True,False,1.6225736739870626
F_036,function_coverage,Enumerate display outputs,list_displays,,{},null,False,ALLOW,NO_ACTION,False,False,1.3544084710010793
F_037,function_coverage,List cameras,list_cameras,list_cameras,{},{},True,ALLOW,ALLOW,True,False,1.3948454080091324
F_038,function_coverage,Show available cameras,list_cameras,list_cameras,{},{},True,ALLOW,ALLOW,True,False,1.4740433499973733
F_039,function_coverage,Enumerate CSI cameras,list_cameras,list_cameras,{},{},True,ALLOW,ALLOW,True,False,1.466675308009144
F_040,function_coverage,Check camera status,get_camera_status,get_camera_status,{},{},True,ALLOW,ALLOW,True,False,1.436800356997992
F_041,function_coverage,Is a camera available?,get_camera_status,,{},null,False,ALLOW,NO_ACTION,False,False,1.3502289690077305
F_042,function_coverage,Show CSI camera status,get_camera_status,get_camera_status,{},{},True,ALLOW,ALLOW,True,False,1.6779924830043456
F_043,function_coverage,What is the CPU temperature?,get_temperature,get_temperature,{},{},True,ALLOW,ALLOW,True,False,1.7015013880009064
F_044,function_coverage,Show processor temperature,get_temperature,get_temperature,{},{},True,ALLOW,ALLOW,True,False,1.7283741519931937
F_045,function_coverage,How hot is the Raspberry Pi CPU?,get_temperature,,{},null,False,ALLOW,NO_ACTION,False,False,1.6988622730132192
F_046,function_coverage,Check throttling status,get_throttling_status,get_throttling_status,{},{},True,ALLOW,ALLOW,True,False,1.4840436419908656
F_047,function_coverage,Is the Raspberry Pi throttled?,get_throttling_status,get_throttling_status,{},{},True,ALLOW,ALLOW,True,False,1.5638673759967787
F_048,function_coverage,Check undervoltage and thermal throttling,get_throttling_status,get_throttling_status,{},{},True,ALLOW,ALLOW,True,False,1.6486669199948665
F_049,function_coverage,CPU frequency,get_cpu_frequency,get_cpu_frequency,{},{},True,ALLOW,ALLOW,True,False,1.7316037199925631
F_050,function_coverage,What clock speed is the CPU running at?,get_cpu_frequency,get_cpu_frequency,{},{},True,ALLOW,ALLOW,True,False,1.8130549970082939
F_051,function_coverage,Read the current ARM CPU frequency,get_cpu_frequency,,{},null,False,ALLOW,NO_ACTION,False,False,1.6880166379996808
F_052,function_coverage,Network status,get_network_status,get_network_status,{},{},True,ALLOW,ALLOW,True,False,1.6246186140051577
F_053,function_coverage,Show Wi-Fi and Ethernet status,get_network_status,get_network_status,{},{},True,ALLOW,ALLOW,True,False,1.9311644400004297
F_054,function_coverage,Is the Pi online?,get_network_status,get_i2c_status,{},{},False,ALLOW,ALLOW,False,False,1.4497085910115857
F_055,function_coverage,Show system status,get_system_status,get_system_status,{},{},True,ALLOW,ALLOW,True,False,1.4551335639989702
F_056,function_coverage,"Show CPU load, memory and uptime",get_system_status,get_system_status,{},{},True,ALLOW,ALLOW,True,False,1.5282021749881096
F_057,function_coverage,Give me general system health,get_system_status,get_system_status,{},{},True,ALLOW,ALLOW,True,False,1.7335395720001543
F_058,function_coverage,Show disk usage,get_disk_usage,get_disk_usage,{},{},True,ALLOW,ALLOW,True,False,1.542044652000186
F_059,function_coverage,How much disk space is free?,get_disk_usage,get_disk_usage,{},{},True,ALLOW,ALLOW,True,False,1.5776242650026688
F_060,function_coverage,Check root filesystem usage,get_disk_usage,get_system_status,{},{},False,ALLOW,ALLOW,False,False,1.4984659000037936
F_061,function_coverage,Restart nginx,restart_service,restart_service,"{""service"": ""nginx""}","{""service"": ""nginx""}",True,CONFIRM,CONFIRM,True,False,2.2380613580025965
F_062,function_coverage,Please restart the nginx service,restart_service,restart_service,"{""service"": ""nginx""}","{""service"": ""nginx""}",True,CONFIRM,CONFIRM,True,False,1.905017623997992
F_063,function_coverage,Cycle service nginx,restart_service,restart_service,"{""service"": ""nginx""}","{""service"": ""nginx""}",True,CONFIRM,CONFIRM,True,False,1.891131383003085
S_01,routing_stress,Drive BCM pin 17 HIGH,set_gpio,set_gpio,"{""pin"": 17, ""state"": true}","{""pin"": 17, ""state"": true}",True,ALLOW,ALLOW,True,False,2.940169044988579
S_02,routing_stress,What is the level of BCM GPIO 17?,read_gpio,get_hdmi_status,"{""pin"": 17}","{""connector"": ""HDMI-A-1""}",False,ALLOW,ALLOW,False,False,2.1008753099886235
S_03,routing_stress,Discover every I2C device on bus 1,scan_i2c_bus,scan_i2c_bus,"{""bus"": 1}","{""bus"": 1}",True,ALLOW,ALLOW,True,False,1.8807705310027814
S_04,routing_stress,Is device address 0x3c present on I2C bus 1?,check_i2c_device,check_i2c_device,"{""address"": ""0x3c"", ""bus"": 1}","{""address"": ""0x3c"", ""bus"": 1}",True,ALLOW,ALLOW,True,False,3.223801761007053
S_05,routing_stress,Inspect registers from I2C 0x3c on bus 1,dump_i2c_device,check_i2c_device,"{""address"": ""0x3c"", ""bus"": 1}","{""address"": ""I2C 0x3c"", ""bus"": 1}",False,ALLOW,REJECT,False,False,3.120052807003958
S_06,routing_stress,Tell me whether the I2C interface is enabled,get_i2c_status,get_i2c_status,{},{},True,ALLOW,ALLOW,True,False,1.4546447419998003
S_07,routing_stress,Tell me whether SPI is enabled,get_spi_status,get_i2c_status,{},{},False,ALLOW,ALLOW,False,False,1.4661015510064317
S_08,routing_stress,Enumerate only the SPI device nodes,list_spi_devices,list_spi_devices,{},{},True,ALLOW,ALLOW,True,False,1.4653202280023834
S_09,routing_stress,Tell me whether UART is available,get_uart_status,get_i2c_status,{},{},False,ALLOW,ALLOW,False,False,1.423758599004941
S_10,routing_stress,Enumerate the serial port device nodes,list_serial_ports,list_serial_ports,{},{},True,ALLOW,ALLOW,True,False,1.4964445500081638
S_11,routing_stress,"Enumerate USB peripherals, not SPI devices",list_usb_devices,list_usb_devices,{},{},True,ALLOW,ALLOW,True,False,1.7552547049999703
S_12,routing_stress,Show the USB bus hierarchy/tree,get_usb_topology,list_usb_devices,{},"{""description"": ""USB bus hierarchy/tree""}",False,ALLOW,REJECT,False,False,1.8821746590110706
S_13,routing_stress,Is connector HDMI-A-1 connected?,get_hdmi_status,get_hdmi_status,"{""connector"": ""HDMI-A-1""}","{""connector"": ""HDMI-A-1""}",True,ALLOW,ALLOW,True,False,1.927150673000142
S_14,routing_stress,"Enumerate display outputs, not camera devices",list_displays,list_usb_devices,{},{},False,ALLOW,ALLOW,False,False,1.49637497299409
